[(49, 8028.60302734375), (99, 6541.2119140625), (149, 6197.919921875), (199, 5976.298828125), (249, 5782.865234375), (299, 6010.1669921875), (349, 5423.2646484375), (399, 5276.90478515625), (449, 5132.138671875), (499, 4993.71728515625), (549, 4855.3515625), (599, 4708.0087890625), (649, 4586.77978515625), (699, 4475.8408203125), (749, 4360.03369140625), (799, 4226.27880859375), (849, 4111.44873046875), (899, 4007.775634765625), (949, 3918.217529296875), (999, 3806.64794921875)]
[(49, 3617.644775390625), (99, 3497.8955078125), (149, 3398.48388671875), (199, 3308.085205078125), (249, 3224.98681640625), (299, 3150.384033203125), (349, 3060.611572265625), (399, 2983.009521484375), (449, 2905.30322265625), (499, 2833.731689453125), (549, 2765.03564453125), (599, 2693.30126953125), (649, 2625.154052734375), (699, 2552.68212890625), (749, 2520.177490234375), (799, 2425.00048828125), (849, 2367.93994140625), (899, 2306.892578125), (949, 2249.36962890625), (999, 2193.100830078125)]
[(49, 2079.073486328125), (99, 2006.006591796875), (149, 1947.0478515625), (199, 1894.186767578125), (249, 1840.5950927734375), (299, 1795.3203125), (349, 1740.629638671875), (399, 1694.0361328125), (449, 1657.9012451171875), (499, 1615.9901123046875), (549, 1575.90185546875), (599, 1535.952392578125), (649, 1497.2679443359375), (699, 1462.874267578125), (749, 1425.1282958984375), (799, 1388.9019775390625), (849, 1354.7265625), (899, 1315.41357421875), (949, 1278.1900634765625), (999, 1256.81982421875)]
[(49, 1219.7239990234375), (99, 1190.271728515625), (149, 1160.8173828125), (199, 1131.7156982421875), (249, 1103.408447265625), (299, 1075.1878662109375), (349, 1046.882568359375), (399, 1020.5824584960938), (449, 993.909423828125), (499, 967.5459594726562), (549, 942.628173828125), (599, 914.4285888671875), (649, 888.3466186523438), (699, 865.9987182617188), (749, 843.5473022460938), (799, 821.7733764648438), (849, 800.48583984375), (899, 779.2372436523438), (949, 758.4306030273438), (999, 737.5502319335938)]
[(49, 698.541748046875), (99, 677.20068359375), (149, 658.7015991210938), (199, 641.6365356445312), (249, 625.3079833984375), (299, 608.8468017578125), (349, 592.5074462890625), (399, 575.9786987304688), (449, 559.3238525390625), (499, 542.2858276367188), (549, 524.9179077148438), (599, 513.0177001953125), (649, 500.5943908691406), (699, 488.1377868652344), (749, 475.4828796386719), (799, 462.6062927246094), (849, 450.462158203125), (899, 437.2996520996094), (949, 425.7577209472656), (999, 412.9677734375)]
[(49, 406.6371154785156), (99, 403.3733825683594), (149, 399.8417663574219), (199, 395.9928894042969), (249, 387.50628662109375), (299, 378.1504211425781), (349, 369.17041015625), (399, 360.3294372558594), (449, 350.6246032714844), (499, 342.134765625), (549, 332.7581481933594), (599, 321.9115905761719), (649, 312.43072509765625), (699, 302.9231262207031), (749, 292.9798583984375), (799, 286.69061279296875), (849, 276.1324462890625), (899, 280.1717224121094), (949, 261.958251953125), (999, 254.49514770507812)]
[(49, 239.29815673828125), (99, 232.7581787109375), (149, 227.19973754882812), (199, 221.55023193359375), (249, 215.88722229003906), (299, 210.2542266845703), (349, 204.7977294921875), (399, 199.30540466308594), (449, 193.80271911621094), (499, 188.8205108642578), (549, 188.1199493408203), (599, 176.73141479492188), (649, 170.9405517578125), (699, 165.3621063232422), (749, 160.29721069335938), (799, 154.58566284179688), (849, 149.90911865234375), (899, 145.4573211669922), (949, 152.0481414794922), (999, 138.13648986816406)]
[(49, 136.3388214111328), (99, 133.69004821777344), (149, 131.39064025878906), (199, 129.0024871826172), (249, 126.15945434570312), (299, 123.23065948486328), (349, 120.49763488769531), (399, 117.09960174560547), (449, 114.85533905029297), (499, 112.03241729736328), (549, 108.20111846923828), (599, 106.44123840332031), (649, 102.83901977539062), (699, 103.50847625732422), (749, 98.9346694946289), (799, 98.30023956298828), (849, 92.69319152832031), (899, 90.51582336425781), (949, 88.41645812988281), (999, 85.13914489746094)]
[(49, 84.20816802978516), (99, 82.4831771850586), (149, 81.5679702758789), (199, 80.95183563232422), (249, 80.17031860351562), (299, 79.10993194580078), (349, 78.15802001953125), (399, 77.03813934326172), (449, 76.32360076904297), (499, 73.82418060302734), (549, 72.37992858886719), (599, 70.07310485839844), (649, 67.2592544555664), (699, 65.7652587890625), (749, 63.6682014465332), (799, 64.2625961303711), (849, 63.0830078125), (899, 60.033721923828125), (949, 58.84748458862305), (999, 58.568153381347656)]
[(49, 57.62977981567383), (99, 55.25478744506836), (149, 54.59280776977539), (199, 54.38030242919922), (249, 54.02434539794922), (299, 53.36759567260742), (349, 52.60608673095703), (399, 51.558937072753906), (449, 50.79842758178711), (499, 50.04468536376953), (549, 49.24290466308594), (599, 48.06752395629883), (649, 47.83131408691406), (699, 48.19609451293945), (749, 45.781009674072266), (799, 42.8333740234375), (849, 42.0251350402832), (899, 41.774539947509766), (949, 39.56431198120117), (999, 37.75243377685547)]
